,0,1,2
0,,,
1,᭶,BALINESE MUSICAL SYMBOL RIGHT-HAND CLOSED TUK (U+1B76),e1adb6
2,᭷,BALINESE MUSICAL SYMBOL RIGHT-HAND CLOSED TAK (U+1B77),e1adb7
3,᭸,BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PANG (U+1B78),e1adb8
4,᭹,BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PUNG (U+1B79),e1adb9
5,᭺,BALINESE MUSICAL SYMBOL LEFT-HAND CLOSED PLAK (U+1B7A),e1adba
6,᭻,BALINESE MUSICAL SYMBOL LEFT-HAND CLOSED PLUK (U+1B7B),e1adbb
7,᭼,BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PING (U+1B7C),e1adbc
8,ᮀ,SUNDANESE SIGN PANYECEK (U+1B80),e1ae80
9,ᮁ,SUNDANESE SIGN PANGLAYAR (U+1B81),e1ae81
10,ᮂ,SUNDANESE SIGN PANGWISAD (U+1B82),e1ae82
11,ᮃ,SUNDANESE LETTER A (U+1B83),e1ae83
12,ᮄ,SUNDANESE LETTER I (U+1B84),e1ae84
13,ᮅ,SUNDANESE LETTER U (U+1B85),e1ae85
14,ᮆ,SUNDANESE LETTER AE (U+1B86),e1ae86
15,ᮇ,SUNDANESE LETTER O (U+1B87),e1ae87
16,ᮈ,SUNDANESE LETTER E (U+1B88),e1ae88
17,ᮉ,SUNDANESE LETTER EU (U+1B89),e1ae89
18,ᮊ,SUNDANESE LETTER KA (U+1B8A),e1ae8a
19,ᮋ,SUNDANESE LETTER QA (U+1B8B),e1ae8b
20,ᮌ,SUNDANESE LETTER GA (U+1B8C),e1ae8c
21,ᮍ,SUNDANESE LETTER NGA (U+1B8D),e1ae8d
22,ᮎ,SUNDANESE LETTER CA (U+1B8E),e1ae8e
23,ᮏ,SUNDANESE LETTER JA (U+1B8F),e1ae8f
24,ᮐ,SUNDANESE LETTER ZA (U+1B90),e1ae90
25,ᮑ,SUNDANESE LETTER NYA (U+1B91),e1ae91
26,ᮒ,SUNDANESE LETTER TA (U+1B92),e1ae92
27,ᮓ,SUNDANESE LETTER DA (U+1B93),e1ae93
28,ᮔ,SUNDANESE LETTER NA (U+1B94),e1ae94
29,ᮕ,SUNDANESE LETTER PA (U+1B95),e1ae95
30,ᮖ,SUNDANESE LETTER FA (U+1B96),e1ae96
31,ᮗ,SUNDANESE LETTER VA (U+1B97),e1ae97
32,ᮘ,SUNDANESE LETTER BA (U+1B98),e1ae98
